match_id,team_1,team_2,league,date,winner,gamelength,firsttower_team,firstblood_team,firstdragon_team
ESPORTSTMNT03_3169046,KT Rolster,Gen.G,LCK,2023-06-09 08:08:33,KT Rolster,1441,KT Rolster,KT Rolster,KT Rolster
ESPORTSTMNT03_3169092,T1,Hanwha Life Esports,LCK,2023-06-09 13:06:11,T1,1517,T1,Hanwha Life Esports,T1
ESPORTSTMNT03_3169206,Liiv SANDBOX,Nongshim RedForce,LCK,2023-06-10 06:17:14,Liiv SANDBOX,1632,Nongshim RedForce,Liiv SANDBOX,Nongshim RedForce
ESPORTSTMNT03_3169215,OKSavingsBank BRION,Kwangdong Freecs,LCK,2023-06-10 09:36:18,Kwangdong Freecs,1839,Kwangdong Freecs,Kwangdong Freecs,Kwangdong Freecs
ESPORTSTMNT03_3169305,T1,Gen.G,LCK,2023-06-11 10:32:23,T1,1804,T1,Gen.G,T1
ESPORTSTMNT03_3170021,Gen.G,KT Rolster,LCK,2023-06-09 08:55:34,Gen.G,1444,Gen.G,Gen.G,KT Rolster
ESPORTSTMNT03_3170048,T1,Hanwha Life Esports,LCK,2023-06-09 13:52:09,T1,1801,T1,Hanwha Life Esports,T1
ESPORTSTMNT03_3170167,Kwangdong Freecs,OKSavingsBank BRION,LCK,2023-06-10 08:40:12,Kwangdong Freecs,1889,Kwangdong Freecs,Kwangdong Freecs,Kwangdong Freecs
ESPORTSTMNT03_3170239,DRX,Dplus KIA,LCK,2023-06-11 06:08:28,Dplus KIA,1304,Dplus KIA,Dplus KIA,Dplus KIA
ESPORTSTMNT03_3170253,DRX,Dplus KIA,LCK,2023-06-11 06:53:02,DRX,2066,DRX,DRX,Dplus KIA
ESPORTSTMNT03_3170256,Gen.G,T1,LCK,2023-06-11 09:43:01,Gen.G,1588,Gen.G,T1,Gen.G
ESPORTSTMNT03_3170267,Gen.G,T1,LCK,2023-06-11 11:26:09,Gen.G,1942,T1,Gen.G,Gen.G
ESPORTSTMNT03_3195856,T1,DRX,LCK,2023-07-27 08:59:44,DRX,1867,DRX,DRX,DRX
ESPORTSTMNT03_3195868,Hanwha Life Esports,Nongshim RedForce,LCK,2023-07-27 11:40:32,Hanwha Life Esports,1347,Hanwha Life Esports,Hanwha Life Esports,Nongshim RedForce
ESPORTSTMNT03_3195975,Dplus KIA,Kwangdong Freecs,LCK,2023-07-28 08:06:19,Dplus KIA,1720,Kwangdong Freecs,Dplus KIA,Dplus KIA
ESPORTSTMNT03_3196827,T1,DRX,LCK,2023-07-27 09:58:18,DRX,2144,T1,DRX,DRX
ESPORTSTMNT03_3196972,Dplus KIA,Kwangdong Freecs,LCK,2023-07-28 08:57:35,Dplus KIA,1652,Dplus KIA,Dplus KIA,Kwangdong Freecs
ESPORTSTMNT03_3196998,OKSavingsBank BRION,Liiv SANDBOX,LCK,2023-07-28 11:29:06,Liiv SANDBOX,1929,OKSavingsBank BRION,OKSavingsBank BRION,OKSavingsBank BRION
ESPORTSTMNT03_3197780,T1,DRX,LCK,2023-07-27 08:06:12,T1,1713,T1,DRX,T1
ESPORTSTMNT03_3197839,Nongshim RedForce,Hanwha Life Esports,LCK,2023-07-27 12:26:40,Hanwha Life Esports,1629,Hanwha Life Esports,Nongshim RedForce,Hanwha Life Esports
ESPORTSTMNT03_3198004,OKSavingsBank BRION,Liiv SANDBOX,LCK,2023-07-28 10:36:12,Liiv SANDBOX,1891,Liiv SANDBOX,Liiv SANDBOX,Liiv SANDBOX
ESPORTSTMNT03_3198239,Gen.G,Dplus KIA,LCK,2023-07-30 09:46:15,Gen.G,1981,Gen.G,Gen.G,Dplus KIA
ESPORTSTMNT03_3199067,KT Rolster,T1,LCK,2023-07-29 06:07:32,KT Rolster,1647,KT Rolster,T1,KT Rolster
ESPORTSTMNT03_3199084,T1,KT Rolster,LCK,2023-07-29 06:56:57,KT Rolster,1600,KT Rolster,KT Rolster,KT Rolster
ESPORTSTMNT03_3199115,DRX,Hanwha Life Esports,LCK,2023-07-29 09:40:18,Hanwha Life Esports,1426,Hanwha Life Esports,DRX,Hanwha Life Esports
ESPORTSTMNT03_3199206,Nongshim RedForce,OKSavingsBank BRION,LCK,2023-07-30 07:05:53,Nongshim RedForce,1949,Nongshim RedForce,Nongshim RedForce,OKSavingsBank BRION
ESPORTSTMNT03_3199211,OKSavingsBank BRION,Nongshim RedForce,LCK,2023-07-30 08:00:26,Nongshim RedForce,2077,OKSavingsBank BRION,OKSavingsBank BRION,Nongshim RedForce
ESPORTSTMNT03_3199251,Dplus KIA,Gen.G,LCK,2023-07-30 10:42:00,Gen.G,2400,Gen.G,Gen.G,Gen.G
ESPORTSTMNT03_3200068,DRX,Hanwha Life Esports,LCK,2023-07-29 08:36:53,Hanwha Life Esports,2464,DRX,DRX,DRX
