match_id,team_1,team_2,league,date,winner
10364-10364_game_1,LNG Esports,ThunderTalk Gaming,LPL,2023-07-12 07:16:58,LNG Esports
10364-10364_game_2,ThunderTalk Gaming,LNG Esports,LPL,2023-07-12 08:06:34,ThunderTalk Gaming
10364-10364_game_3,LNG Esports,ThunderTalk Gaming,LPL,2023-07-12 09:01:21,LNG Esports
10365-10365_game_1,FunPlus Phoenix,Ninjas in Pyjamas,LPL,2023-07-12 09:15:24,FunPlus Phoenix
10365-10365_game_2,Ninjas in Pyjamas,FunPlus Phoenix,LPL,2023-07-12 10:06:45,FunPlus Phoenix
10366-10366_game_1,Bilibili Gaming,Royal Never Give Up,LPL,2023-07-12 11:22:54,Royal Never Give Up
10366-10366_game_2,Royal Never Give Up,Bilibili Gaming,LPL,2023-07-12 12:29:48,Bilibili Gaming
10366-10366_game_3,Bilibili Gaming,Royal Never Give Up,LPL,2023-07-12 13:27:04,Bilibili Gaming
10367-10367_game_1,JD Gaming,Rare Atom,LPL,2023-07-13 07:18:02,JD Gaming
10367-10367_game_2,Rare Atom,JD Gaming,LPL,2023-07-13 08:08:13,JD Gaming
10368-10368_game_1,Invictus Gaming,Weibo Gaming,LPL,2023-07-13 09:15:14,Invictus Gaming
10368-10368_game_2,Weibo Gaming,Invictus Gaming,LPL,2023-07-13 10:01:54,Invictus Gaming
10369-10369_game_1,Oh My God,EDward Gaming,LPL,2023-07-13 11:15:17,Oh My God
10369-10369_game_2,EDward Gaming,Oh My God,LPL,2023-07-13 12:02:39,EDward Gaming
10369-10369_game_3,Oh My God,EDward Gaming,LPL,2023-07-13 12:49:38,Oh My God
10370-10370_game_1,LGD Gaming,Ultra Prime,LPL,2023-07-14 07:16:57,LGD Gaming
10370-10370_game_2,Ultra Prime,LGD Gaming,LPL,2023-07-14 08:04:44,Ultra Prime
10370-10370_game_3,LGD Gaming,Ultra Prime,LPL,2023-07-14 09:04:55,Ultra Prime
10371-10371_game_1,Anyone's Legend,Top Esports,LPL,2023-07-14 10:33:03,Top Esports
10371-10371_game_2,Anyone's Legend,Top Esports,LPL,2023-07-14 11:26:49,Top Esports
10372-10372_game_1,Royal Never Give Up,Weibo Gaming,LPL,2023-07-14 12:48:43,Weibo Gaming
10372-10372_game_2,Royal Never Give Up,Weibo Gaming,LPL,2023-07-14 13:40:12,Royal Never Give Up
10372-10372_game_3,Royal Never Give Up,Weibo Gaming,LPL,2023-07-14 14:24:14,Weibo Gaming
10373-10373_game_1,Team WE,FunPlus Phoenix,LPL,2023-07-15 07:18:18,FunPlus Phoenix
10373-10373_game_2,FunPlus Phoenix,Team WE,LPL,2023-07-15 08:07:42,FunPlus Phoenix
10374-10374_game_1,Ninjas in Pyjamas,LNG Esports,LPL,2023-07-15 09:16:49,LNG Esports
10374-10374_game_2,LNG Esports,Ninjas in Pyjamas,LPL,2023-07-15 10:09:18,LNG Esports
10375-10375_game_1,Ultra Prime,Invictus Gaming,LPL,2023-07-15 11:19:11,Ultra Prime
10375-10375_game_2,Invictus Gaming,Ultra Prime,LPL,2023-07-15 12:07:45,Invictus Gaming
10375-10375_game_3,Invictus Gaming,Ultra Prime,LPL,2023-07-15 12:54:00,Invictus Gaming
10376-10376_game_1,Team WE,Bilibili Gaming,LPL,2023-07-16 07:16:08,Bilibili Gaming
10376-10376_game_2,Bilibili Gaming,Team WE,LPL,2023-07-16 08:11:11,Bilibili Gaming
10377-10377_game_1,ThunderTalk Gaming,JD Gaming,LPL,2023-07-16 09:19:25,JD Gaming
10377-10377_game_2,JD Gaming,ThunderTalk Gaming,LPL,2023-07-16 10:11:20,JD Gaming
10378-10378_game_1,Rare Atom,Oh My God,LPL,2023-07-16 11:19:08,Oh My God
10378-10378_game_2,Oh My God,Rare Atom,LPL,2023-07-16 12:12:51,Oh My God
10379-10379_game_1,Royal Never Give Up,LGD Gaming,LPL,2023-07-17 09:14:25,Royal Never Give Up
10379-10379_game_2,LGD Gaming,Royal Never Give Up,LPL,2023-07-17 10:03:37,Royal Never Give Up
10380-10380_game_1,Weibo Gaming,EDward Gaming,LPL,2023-07-17 11:17:24,Weibo Gaming
10380-10380_game_2,EDward Gaming,Weibo Gaming,LPL,2023-07-17 12:16:11,Weibo Gaming
10381-10381_game_1,EDward Gaming,Team WE,LPL,2023-07-20 09:15:35,EDward Gaming
10381-10381_game_2,EDward Gaming,Team WE,LPL,2023-07-20 10:24:15,Team WE
10381-10381_game_3,EDward Gaming,Team WE,LPL,2023-07-20 11:22:04,EDward Gaming
10381-10381_game_4,Team WE,EDward Gaming,LPL,2023-07-20 12:16:39,EDward Gaming
10382-10382_game_1,Royal Never Give Up,Ninjas in Pyjamas,LPL,2023-07-21 09:19:22,Ninjas in Pyjamas
10382-10382_game_2,Royal Never Give Up,Ninjas in Pyjamas,LPL,2023-07-21 10:13:19,Ninjas in Pyjamas
10382-10382_game_3,Royal Never Give Up,Ninjas in Pyjamas,LPL,2023-07-21 11:05:28,Royal Never Give Up
10382-10382_game_4,Ninjas in Pyjamas,Royal Never Give Up,LPL,2023-07-21 11:55:32,Ninjas in Pyjamas
10383-10383_game_1,Oh My God,EDward Gaming,LPL,2023-07-22 09:16:53,Oh My God
10383-10383_game_2,EDward Gaming,Oh My God,LPL,2023-07-22 10:03:41,EDward Gaming
10383-10383_game_3,Oh My God,EDward Gaming,LPL,2023-07-22 10:52:08,Oh My God
10383-10383_game_4,EDward Gaming,Oh My God,LPL,2023-07-22 11:47:39,EDward Gaming
10383-10383_game_5,Oh My God,EDward Gaming,LPL,2023-07-22 12:48:19,EDward Gaming
10384-10384_game_1,Weibo Gaming,Ninjas in Pyjamas,LPL,2023-07-23 09:16:01,Weibo Gaming
10384-10384_game_2,Ninjas in Pyjamas,Weibo Gaming,LPL,2023-07-23 10:05:28,Ninjas in Pyjamas
10384-10384_game_3,Weibo Gaming,Ninjas in Pyjamas,LPL,2023-07-23 10:54:17,Weibo Gaming
10384-10384_game_4,Ninjas in Pyjamas,Weibo Gaming,LPL,2023-07-23 11:42:25,Weibo Gaming
10385-10385_game_1,Top Esports,EDward Gaming,LPL,2023-07-24 09:16:36,Top Esports
10385-10385_game_2,EDward Gaming,Top Esports,LPL,2023-07-24 10:17:26,EDward Gaming
10385-10385_game_3,Top Esports,EDward Gaming,LPL,2023-07-24 11:14:46,Top Esports
10385-10385_game_4,EDward Gaming,Top Esports,LPL,2023-07-24 12:08:10,EDward Gaming
10385-10385_game_5,Top Esports,EDward Gaming,LPL,2023-07-24 13:03:15,Top Esports
10386-10386_game_1,LNG Esports,Weibo Gaming,LPL,2023-07-25 09:16:29,Weibo Gaming
10386-10386_game_2,LNG Esports,Weibo Gaming,LPL,2023-07-25 10:09:05,LNG Esports
10386-10386_game_3,Weibo Gaming,LNG Esports,LPL,2023-07-25 11:19:32,Weibo Gaming
10386-10386_game_4,LNG Esports,Weibo Gaming,LPL,2023-07-25 12:21:48,LNG Esports
10386-10386_game_5,Weibo Gaming,LNG Esports,LPL,2023-07-25 13:16:45,LNG Esports
10387-10387_game_1,Bilibili Gaming,Top Esports,LPL,2023-07-26 09:32:20,Bilibili Gaming
10387-10387_game_2,Top Esports,Bilibili Gaming,LPL,2023-07-26 10:20:49,Top Esports
10387-10387_game_3,Bilibili Gaming,Top Esports,LPL,2023-07-26 11:09:30,Bilibili Gaming
10387-10387_game_4,Top Esports,Bilibili Gaming,LPL,2023-07-26 12:03:37,Bilibili Gaming
10388-10388_game_1,JD Gaming,LNG Esports,LPL,2023-07-27 09:18:33,LNG Esports
10388-10388_game_2,JD Gaming,LNG Esports,LPL,2023-07-27 10:15:21,JD Gaming
10388-10388_game_3,LNG Esports,JD Gaming,LPL,2023-07-27 11:20:54,JD Gaming
10388-10388_game_4,JD Gaming,LNG Esports,LPL,2023-07-27 12:13:39,LNG Esports
10388-10388_game_5,LNG Esports,JD Gaming,LPL,2023-07-27 13:12:46,JD Gaming
10389-10389_game_1,Top Esports,LNG Esports,LPL,2023-07-29 09:15:38,LNG Esports
10389-10389_game_2,Top Esports,LNG Esports,LPL,2023-07-29 10:07:18,LNG Esports
10389-10389_game_3,Top Esports,LNG Esports,LPL,2023-07-29 11:10:13,Top Esports
10389-10389_game_4,LNG Esports,Top Esports,LPL,2023-07-29 12:03:16,LNG Esports
10390-10390_game_1,JD Gaming,Bilibili Gaming,LPL,2023-07-30 09:17:07,JD Gaming
10390-10390_game_2,Bilibili Gaming,JD Gaming,LPL,2023-07-30 10:12:15,JD Gaming
10390-10390_game_3,JD Gaming,Bilibili Gaming,LPL,2023-07-30 11:07:13,JD Gaming
10391-10391_game_1,LNG Esports,Bilibili Gaming,LPL,2023-08-01 09:22:55,Bilibili Gaming
10391-10391_game_2,LNG Esports,Bilibili Gaming,LPL,2023-08-01 10:20:00,LNG Esports
10391-10391_game_3,Bilibili Gaming,LNG Esports,LPL,2023-08-01 11:16:16,LNG Esports
10391-10391_game_4,LNG Esports,Bilibili Gaming,LPL,2023-08-01 12:08:05,LNG Esports
10392-10392_game_1,JD Gaming,LNG Esports,LPL,2023-08-05 09:25:36,JD Gaming
10392-10392_game_2,LNG Esports,JD Gaming,LPL,2023-08-05 10:34:20,LNG Esports
10392-10392_game_3,JD Gaming,LNG Esports,LPL,2023-08-05 11:30:37,LNG Esports
10392-10392_game_4,JD Gaming,LNG Esports,LPL,2023-08-05 12:22:01,JD Gaming
10392-10392_game_5,LNG Esports,JD Gaming,LPL,2023-08-05 13:15:42,JD Gaming
8401-8401_game_1,Oh My God,ThunderTalk Gaming,LPL,2022-01-10 09:24:26,Oh My God
8401-8401_game_2,Oh My God,ThunderTalk Gaming,LPL,2022-01-10 10:09:22,Oh My God
8402-8402_game_1,FunPlus Phoenix,Royal Never Give Up,LPL,2022-01-10 11:26:11,FunPlus Phoenix
8402-8402_game_2,FunPlus Phoenix,Royal Never Give Up,LPL,2022-01-10 12:18:24,Royal Never Give Up
8402-8402_game_3,Royal Never Give Up,FunPlus Phoenix,LPL,2022-01-10 13:17:30,FunPlus Phoenix
8403-8403_game_1,JD Gaming,EDward Gaming,LPL,2022-01-11 09:19:52,EDward Gaming
8403-8403_game_2,JD Gaming,EDward Gaming,LPL,2022-01-11 10:07:46,EDward Gaming
8404-8404_game_1,LGD Gaming,Anyone's Legend,LPL,2022-01-11 11:22:24,LGD Gaming
8404-8404_game_2,Anyone's Legend,LGD Gaming,LPL,2022-01-11 12:19:37,Anyone's Legend
8404-8404_game_3,LGD Gaming,Anyone's Legend,LPL,2022-01-11 13:08:29,Anyone's Legend
8405-8405_game_1,Rare Atom,Top Esports,LPL,2022-01-12 09:20:59,Rare Atom
8405-8405_game_2,Top Esports,Rare Atom,LPL,2022-01-12 10:15:36,Rare Atom
8406-8406_game_1,Ultra Prime,LNG Esports,LPL,2022-01-12 11:26:01,LNG Esports
8406-8406_game_2,Ultra Prime,LNG Esports,LPL,2022-01-12 12:20:50,LNG Esports
8407-8407_game_1,ThunderTalk Gaming,Invictus Gaming,LPL,2022-01-13 09:20:11,Invictus Gaming
8407-8407_game_2,Invictus Gaming,ThunderTalk Gaming,LPL,2022-01-13 10:06:23,Invictus Gaming
8408-8408_game_1,Team WE,Weibo Gaming,LPL,2022-01-13 11:24:24,Weibo Gaming
8408-8408_game_2,Weibo Gaming,Team WE,LPL,2022-01-13 12:25:17,Weibo Gaming
8409-8409_game_1,LGD Gaming,FunPlus Phoenix,LPL,2022-01-14 07:20:18,FunPlus Phoenix
8409-8409_game_2,LGD Gaming,FunPlus Phoenix,LPL,2022-01-14 08:16:30,FunPlus Phoenix
8410-8410_game_1,Anyone's Legend,Oh My God,LPL,2022-01-14 09:23:25,Oh My God
8410-8410_game_2,Oh My God,Anyone's Legend,LPL,2022-01-14 10:16:19,Oh My God
8411-8411_game_1,Royal Never Give Up,JD Gaming,LPL,2022-01-14 11:33:57,Royal Never Give Up
8411-8411_game_2,Royal Never Give Up,JD Gaming,LPL,2022-01-14 12:26:39,JD Gaming
8411-8411_game_3,Royal Never Give Up,JD Gaming,LPL,2022-01-14 13:20:21,Royal Never Give Up
8412-8412_game_1,ThunderTalk Gaming,EDward Gaming,LPL,2022-01-15 07:19:56,EDward Gaming
