match_id,team_1,team_2,league,date,winner,gamelength,firsttower_team,firstbaron_team
ESPORTSTMNT06_2775460,G2 Esports,Team Heretics,LEC,2023-03-11 21:11:17,G2 Esports,1420,Team Heretics,0
ESPORTSTMNT06_2775495,Team BDS,MAD Lions KOI,LEC,2023-03-12 17:07:48,Team BDS,1926,MAD Lions KOI,0
ESPORTSTMNT06_2775522,Astralis,G2 Esports,LEC,2023-03-12 20:52:08,Astralis,1988,G2 Esports,0
ESPORTSTMNT06_2775531,KOI,Team Heretics,LEC,2023-03-12 21:55:01,KOI,2812,Team Heretics,0
ESPORTSTMNT06_2775833,Team Heretics,Excel Esports,LEC,2023-03-18 18:04:20,Team Heretics,2250,Team Heretics,0
ESPORTSTMNT06_2775881,Excel Esports,MAD Lions KOI,LEC,2023-03-19 18:19:42,Excel Esports,2101,Excel Esports,0
ESPORTSTMNT06_2775898,SK Gaming,KOI,LEC,2023-03-19 20:30:56,KOI,2189,SK Gaming,0
ESPORTSTMNT06_2775908,G2 Esports,Team Vitality,LEC,2023-03-19 21:42:37,G2 Esports,1858,Team Vitality,0
ESPORTSTMNT06_2776059,Fnatic,MAD Lions KOI,LEC,2023-03-25 20:16:00,Fnatic,1899,MAD Lions KOI,0
ESPORTSTMNT06_2776067,Excel Esports,Astralis,LEC,2023-03-26 15:58:28,Astralis,1310,Astralis,2
ESPORTSTMNT06_2776133,Team Heretics,MAD Lions KOI,LEC,2023-03-27 21:00:38,MAD Lions KOI,2078,MAD Lions KOI,1
ESPORTSTMNT06_2777029,Team Heretics,Astralis,LEC,2023-03-25 17:09:32,Astralis,1712,Astralis,1
ESPORTSTMNT06_2777051,KOI,Excel Esports,LEC,2023-03-25 17:57:19,KOI,2487,KOI,1
ESPORTSTMNT06_2777070,SK Gaming,G2 Esports,LEC,2023-03-25 21:25:10,G2 Esports,1723,G2 Esports,1
ESPORTSTMNT06_2777089,MAD Lions KOI,SK Gaming,LEC,2023-03-26 16:54:30,MAD Lions KOI,2089,MAD Lions KOI,0
ESPORTSTMNT06_2777097,KOI,Team BDS,LEC,2023-03-26 17:56:49,Team BDS,2374,KOI,1
ESPORTSTMNT06_2777123,Astralis,Fnatic,LEC,2023-03-27 17:02:05,Astralis,2222,Fnatic,0
ESPORTSTMNT06_2777132,MAD Lions KOI,G2 Esports,LEC,2023-03-27 19:10:23,G2 Esports,1686,G2 Esports,1
ESPORTSTMNT06_2778032,Team Vitality,Team BDS,LEC,2023-03-25 19:19:38,Team BDS,2491,Team Vitality,0
ESPORTSTMNT06_2778069,Team Vitality,Team Heretics,LEC,2023-03-26 19:02:22,Team Vitality,2275,Team Vitality,1
ESPORTSTMNT06_2778074,G2 Esports,Fnatic,LEC,2023-03-26 19:53:48,Fnatic,1963,G2 Esports,1
ESPORTSTMNT06_2778084,Team BDS,Excel Esports,LEC,2023-03-27 15:58:42,Team BDS,2350,Team BDS,0
ESPORTSTMNT06_2778102,Team Heretics,SK Gaming,LEC,2023-03-27 18:13:19,Team Heretics,1939,SK Gaming,0
ESPORTSTMNT06_2778117,KOI,Team Vitality,LEC,2023-03-27 20:07:14,Team Vitality,1597,Team Vitality,1
ESPORTSTMNT06_2818965,Excel Esports,MAD Lions KOI,LEC,2023-07-15 16:07:46,Excel Esports,1743,Excel Esports,2
ESPORTSTMNT06_2818982,MAD Lions KOI,Excel Esports,LEC,2023-07-15 17:00:04,Excel Esports,2354,MAD Lions KOI,1
ESPORTSTMNT06_2819995,Fnatic,SK Gaming,LEC,2023-07-15 19:03:28,SK Gaming,2087,SK Gaming,1
ESPORTSTMNT06_2820985,SK Gaming,Fnatic,LEC,2023-07-15 18:08:13,SK Gaming,1955,SK Gaming,0
ESPORTSTMNT06_2821034,Team Heretics,Team BDS,LEC,2023-07-16 16:07:26,Team Heretics,1773,Team BDS,0
ESPORTSTMNT06_2821052,G2 Esports,KOI,LEC,2023-07-16 18:42:05,G2 Esports,1924,KOI,0
ESPORTSTMNT06_2821088,Excel Esports,SK Gaming,LEC,2023-07-17 17:57:22,Excel Esports,1928,Excel Esports,0
ESPORTSTMNT06_2821347,Fnatic,SK Gaming,LEC,2023-07-23 16:07:42,Fnatic,1600,Fnatic,0
ESPORTSTMNT06_2821361,Team BDS,Team Heretics,LEC,2023-07-23 19:03:46,Team Heretics,1749,Team Heretics,1
ESPORTSTMNT06_2821382,G2 Esports,Excel Esports,LEC,2023-07-24 19:46:56,G2 Esports,2310,Excel Esports,1
ESPORTSTMNT06_2821447,Fnatic,Team Heretics,LEC,2023-07-28 17:08:07,Fnatic,1809,Team Heretics,0
ESPORTSTMNT06_2821455,Excel Esports,Fnatic,LEC,2023-07-29 18:50:14,Excel Esports,1694,Fnatic,0
ESPORTSTMNT06_2821457,G2 Esports,Excel Esports,LEC,2023-07-30 16:19:38,G2 Esports,1504,G2 Esports,0
ESPORTSTMNT06_2821467,Excel Esports,G2 Esports,LEC,2023-07-30 18:13:23,G2 Esports,1434,Excel Esports,1
ESPORTSTMNT06_2822047,Team Heretics,Team BDS,LEC,2023-07-16 17:46:48,Team BDS,1595,Team BDS,1
ESPORTSTMNT06_2822059,KOI,G2 Esports,LEC,2023-07-16 19:36:39,G2 Esports,1705,G2 Esports,1
ESPORTSTMNT06_2822069,Excel Esports,SK Gaming,LEC,2023-07-17 16:07:18,Excel Esports,2075,SK Gaming,1
ESPORTSTMNT06_2822080,Excel Esports,SK Gaming,LEC,2023-07-17 17:05:27,SK Gaming,1692,SK Gaming,1
ESPORTSTMNT06_2822099,Team BDS,G2 Esports,LEC,2023-07-17 19:44:27,G2 Esports,1928,G2 Esports,1
ESPORTSTMNT06_2822362,Team Heretics,KOI,LEC,2023-07-22 19:08:57,Team Heretics,1716,Team Heretics,0
ESPORTSTMNT06_2822395,G2 Esports,Excel Esports,LEC,2023-07-24 17:03:08,Excel Esports,1735,G2 Esports,1
ESPORTSTMNT06_2822451,Fnatic,Team Heretics,LEC,2023-07-28 18:52:23,Fnatic,1576,Fnatic,0
ESPORTSTMNT06_2822453,Excel Esports,Fnatic,LEC,2023-07-29 16:08:07,Excel Esports,1721,Excel Esports,0
ESPORTSTMNT06_2822463,Fnatic,Excel Esports,LEC,2023-07-29 17:51:30,Fnatic,2139,Excel Esports,0
ESPORTSTMNT06_2822475,G2 Esports,Excel Esports,LEC,2023-07-30 17:13:07,G2 Esports,2225,G2 Esports,0
ESPORTSTMNT06_2823044,Team BDS,Team Heretics,LEC,2023-07-16 16:58:49,Team BDS,1578,Team BDS,2
