match_id,team_1,team_2,league,date,winner,gamelength,firsttower_team,firstblood_team,firstdragon_team
ESPORTSTMNT04_2688621,Team Heretics,G2 Esports,LEC,2023-07-03 18:50:03,G2 Esports,2098,G2 Esports,Team Heretics,G2 Esports
ESPORTSTMNT05_3220221,MAD Lions KOI,Team Vitality,LEC,2023-04-08 17:11:19,Team Vitality,1752,Team Vitality,Team Vitality,MAD Lions KOI
ESPORTSTMNT05_3220228,Astralis,Fnatic,LEC,2023-04-08 19:09:21,Fnatic,1801,Fnatic,Fnatic,Fnatic
ESPORTSTMNT05_3220243,SK Gaming,Team BDS,LEC,2023-04-09 16:59:03,Team BDS,1733,SK Gaming,Team BDS,Team BDS
ESPORTSTMNT05_3220251,G2 Esports,KOI,LEC,2023-04-09 19:43:14,KOI,1682,KOI,G2 Esports,G2 Esports
ESPORTSTMNT05_3220263,Astralis,Team Vitality,LEC,2023-04-10 16:08:28,Team Vitality,1824,Team Vitality,Team Vitality,Team Vitality
ESPORTSTMNT05_3220281,Astralis,Team Vitality,LEC,2023-04-10 16:59:50,Team Vitality,1390,Team Vitality,Team Vitality,Astralis
ESPORTSTMNT05_3220282,Team BDS,KOI,LEC,2023-04-10 17:48:47,Team BDS,1747,Team BDS,Team BDS,Team BDS
ESPORTSTMNT05_3220418,MAD Lions KOI,Fnatic,LEC,2023-04-15 17:52:09,MAD Lions KOI,2167,MAD Lions KOI,MAD Lions KOI,Fnatic
ESPORTSTMNT05_3220425,G2 Esports,SK Gaming,LEC,2023-04-15 18:53:57,G2 Esports,1793,G2 Esports,SK Gaming,SK Gaming
ESPORTSTMNT05_3220498,G2 Esports,KOI,LEC,2023-04-16 18:05:35,KOI,1672,G2 Esports,KOI,G2 Esports
ESPORTSTMNT05_3220513,KOI,G2 Esports,LEC,2023-04-16 19:37:09,G2 Esports,2125,G2 Esports,G2 Esports,G2 Esports
ESPORTSTMNT05_3220556,Team Vitality,Team BDS,LEC,2023-04-17 17:10:13,Team BDS,1994,Team Vitality,Team Vitality,Team BDS
ESPORTSTMNT05_3220559,Team BDS,Team Vitality,LEC,2023-04-17 18:06:20,Team BDS,2114,Team Vitality,Team Vitality,Team BDS
ESPORTSTMNT05_3220639,G2 Esports,MAD Lions KOI,LEC,2023-04-21 19:37:57,G2 Esports,1841,MAD Lions KOI,MAD Lions KOI,G2 Esports
ESPORTSTMNT05_3220672,Team Vitality,MAD Lions KOI,LEC,2023-04-22 18:48:13,MAD Lions KOI,1744,MAD Lions KOI,MAD Lions KOI,Team Vitality
ESPORTSTMNT05_3220686,Team BDS,MAD Lions KOI,LEC,2023-04-23 18:55:24,MAD Lions KOI,1431,MAD Lions KOI,MAD Lions KOI,MAD Lions KOI
ESPORTSTMNT05_3221203,Team Vitality,MAD Lions KOI,LEC,2023-04-08 16:12:57,Team Vitality,1983,MAD Lions KOI,Team Vitality,MAD Lions KOI
ESPORTSTMNT05_3221222,Astralis,Fnatic,LEC,2023-04-08 18:14:03,Astralis,2027,Astralis,Astralis,Astralis
ESPORTSTMNT05_3221239,G2 Esports,KOI,LEC,2023-04-09 17:55:02,G2 Esports,1836,G2 Esports,G2 Esports,G2 Esports
ESPORTSTMNT05_3221278,KOI,Team BDS,LEC,2023-04-10 18:40:30,Team BDS,1691,Team BDS,KOI,Team BDS
ESPORTSTMNT05_3222225,Astralis,Fnatic,LEC,2023-04-08 19:59:03,Astralis,1998,Astralis,Astralis,Astralis
ESPORTSTMNT05_3222228,Team BDS,SK Gaming,LEC,2023-04-09 16:07:07,Team BDS,1830,SK Gaming,SK Gaming,Team BDS
ESPORTSTMNT05_3222242,KOI,G2 Esports,LEC,2023-04-09 18:49:40,KOI,1893,KOI,G2 Esports,G2 Esports
ESPORTSTMNT05_3222408,Fnatic,MAD Lions KOI,LEC,2023-04-15 17:00:19,Fnatic,1742,MAD Lions KOI,MAD Lions KOI,MAD Lions KOI
ESPORTSTMNT05_3222495,Astralis,MAD Lions KOI,LEC,2023-04-16 17:06:24,MAD Lions KOI,1929,MAD Lions KOI,Astralis,MAD Lions KOI
ESPORTSTMNT05_3222595,G2 Esports,MAD Lions KOI,LEC,2023-04-21 16:10:49,G2 Esports,1661,MAD Lions KOI,G2 Esports,MAD Lions KOI
