match_id,team_1,team_2,league,date,winner,gamelength,firsttower_team,firstblood_team,firstdragon_team
ESPORTSTMNT01_3410246,KaBuM! Esports,paiN Gaming,CBLOL,2023-08-06 19:08:27,paiN Gaming,2658,paiN Gaming,paiN Gaming,paiN Gaming
ESPORTSTMNT01_3411136,Los Grandes,LOUD,CBLOL,2023-08-06 16:23:05,LOUD,2100,LOUD,LOUD,LOUD
ESPORTSTMNT01_3411168,Liberty,FURIA,CBLOL,2023-08-06 18:21:06,Liberty,1600,FURIA,Liberty,Liberty
ESPORTSTMNT01_3411202,Vivo Keyd Stars,RED Canids,CBLOL,2023-08-06 20:18:54,Vivo Keyd Stars,1857,RED Canids,RED Canids,RED Canids
ESPORTSTMNT01_3412133,INTZ,Fluxo,CBLOL,2023-08-06 17:25:44,INTZ,1826,Fluxo,INTZ,INTZ
ESPORTSTMNT02_3151911,INTZ,Vivo Keyd Stars,CBLOL,2023-02-18 19:35:25,Vivo Keyd Stars,1811,INTZ,Vivo Keyd Stars,Vivo Keyd Stars
ESPORTSTMNT02_3151939,Liberty,LOUD,CBLOL,2023-02-18 20:35:31,LOUD,1986,Liberty,LOUD,LOUD
ESPORTSTMNT02_3153825,FURIA,Los Grandes,CBLOL,2023-02-18 16:18:43,Los Grandes,2748,Los Grandes,Los Grandes,FURIA
ESPORTSTMNT02_3153877,RED Canids,Fluxo,CBLOL,2023-02-18 17:32:35,Fluxo,1896,Fluxo,Fluxo,RED Canids
ESPORTSTMNT02_3153897,KaBuM! Esports,paiN Gaming,CBLOL,2023-02-18 18:30:54,paiN Gaming,2252,paiN Gaming,paiN Gaming,KaBuM! Esports
ESPORTSTMNT02_3154270,Fluxo,Los Grandes,CBLOL,2023-02-19 17:12:57,Fluxo,1855,Fluxo,Fluxo,Los Grandes
ESPORTSTMNT02_3154297,FURIA,Vivo Keyd Stars,CBLOL,2023-02-19 18:10:37,FURIA,2505,FURIA,FURIA,FURIA
ESPORTSTMNT02_3154330,paiN Gaming,LOUD,CBLOL,2023-02-19 19:18:05,paiN Gaming,1818,paiN Gaming,paiN Gaming,LOUD
ESPORTSTMNT02_3154355,KaBuM! Esports,Liberty,CBLOL,2023-02-19 20:14:53,Liberty,1631,Liberty,Liberty,KaBuM! Esports
ESPORTSTMNT02_3155254,INTZ,RED Canids,CBLOL,2023-02-19 16:18:03,INTZ,1833,INTZ,RED Canids,INTZ
ESPORTSTMNT02_3163681,LOUD,KaBuM! Esports,CBLOL,2023-02-25 17:28:15,LOUD,2660,KaBuM! Esports,KaBuM! Esports,KaBuM! Esports
ESPORTSTMNT02_3163733,INTZ,FURIA,CBLOL,2023-02-25 20:47:45,FURIA,1790,FURIA,INTZ,FURIA
ESPORTSTMNT02_3164616,Vivo Keyd Stars,paiN Gaming,CBLOL,2023-02-25 16:20:36,paiN Gaming,2352,paiN Gaming,Vivo Keyd Stars,paiN Gaming
ESPORTSTMNT02_3164695,Liberty,Fluxo,CBLOL,2023-02-25 19:41:38,Fluxo,2493,Fluxo,Liberty,Fluxo
ESPORTSTMNT02_3165582,RED Canids,Los Grandes,CBLOL,2023-02-25 18:40:14,Los Grandes,2121,RED Canids,RED Canids,Los Grandes
ESPORTSTMNT02_3165985,Liberty,FURIA,CBLOL,2023-02-26 17:26:53,FURIA,1881,FURIA,FURIA,FURIA
ESPORTSTMNT02_3166049,Fluxo,LOUD,CBLOL,2023-02-26 16:19:29,Fluxo,2385,Fluxo,Fluxo,LOUD
ESPORTSTMNT02_3167106,RED Canids,paiN Gaming,CBLOL,2023-02-26 18:25:48,RED Canids,2366,paiN Gaming,RED Canids,RED Canids
ESPORTSTMNT02_3168031,Los Grandes,Vivo Keyd Stars,CBLOL,2023-02-26 19:39:40,Vivo Keyd Stars,1827,Los Grandes,Vivo Keyd Stars,Los Grandes
ESPORTSTMNT02_3168056,KaBuM! Esports,INTZ,CBLOL,2023-02-26 20:38:03,INTZ,1973,INTZ,INTZ,INTZ
ESPORTSTMNT02_3210268,Fluxo,Liberty,CBLOL,2023-06-24 18:26:02,Fluxo,2497,Liberty,Fluxo,Liberty
ESPORTSTMNT02_3210287,Los Grandes,Vivo Keyd Stars,CBLOL,2023-06-24 19:33:27,Vivo Keyd Stars,1690,Los Grandes,Vivo Keyd Stars,Vivo Keyd Stars
ESPORTSTMNT02_3210486,Liberty,RED Canids,CBLOL,2023-06-25 19:21:07,RED Canids,2663,Liberty,RED Canids,Liberty
ESPORTSTMNT02_3211401,KaBuM! Esports,FURIA,CBLOL,2023-06-25 17:24:13,FURIA,2012,KaBuM! Esports,KaBuM! Esports,FURIA
ESPORTSTMNT02_3211413,Vivo Keyd Stars,LOUD,CBLOL,2023-06-25 18:23:16,LOUD,1941,Vivo Keyd Stars,LOUD,LOUD
ESPORTSTMNT02_3212182,RED Canids,paiN Gaming,CBLOL,2023-06-24 16:22:25,RED Canids,2356,paiN Gaming,RED Canids,paiN Gaming
ESPORTSTMNT02_3212196,FURIA,INTZ,CBLOL,2023-06-24 17:29:28,INTZ,1885,FURIA,FURIA,INTZ
ESPORTSTMNT02_3212243,LOUD,KaBuM! Esports,CBLOL,2023-06-24 20:23:50,LOUD,1832,LOUD,KaBuM! Esports,KaBuM! Esports
ESPORTSTMNT02_3212389,Fluxo,Los Grandes,CBLOL,2023-06-25 16:20:36,Fluxo,2167,Fluxo,Fluxo,Los Grandes
ESPORTSTMNT02_3212436,INTZ,paiN Gaming,CBLOL,2023-06-25 20:33:44,paiN Gaming,1891,paiN Gaming,INTZ,INTZ
