match_id,team_1,team_2,league,date,winner,gamelength,firsttower_team,firstbaron_team
ESPORTSTMNT01_3332787,Counter Logic Gaming,Cloud9,LCS,2023-03-24 23:57:14,Cloud9,2068,Counter Logic Gaming,1
ESPORTSTMNT01_3333073,100 Thieves,Golden Guardians,LCS,2023-03-26 00:23:26,Golden Guardians,1843,Golden Guardians,1
ESPORTSTMNT01_3333294,Counter Logic Gaming,Evil Geniuses,LCS,2023-03-26 22:02:36,Evil Geniuses,2064,Evil Geniuses,1
ESPORTSTMNT01_3333302,Counter Logic Gaming,Evil Geniuses,LCS,2023-03-26 22:57:23,Evil Geniuses,2491,Evil Geniuses,1
ESPORTSTMNT01_3334011,Golden Guardians,100 Thieves,LCS,2023-03-25 22:00:59,Golden Guardians,1764,Golden Guardians,0
ESPORTSTMNT01_3334019,100 Thieves,Golden Guardians,LCS,2023-03-25 22:50:28,100 Thieves,1601,100 Thieves,0
ESPORTSTMNT01_3335003,Golden Guardians,100 Thieves,LCS,2023-03-25 23:37:47,Golden Guardians,1531,Golden Guardians,0
ESPORTSTMNT01_3335201,Counter Logic Gaming,Evil Geniuses,LCS,2023-03-26 21:07:09,Evil Geniuses,2092,Counter Logic Gaming,1
ESPORTSTMNT01_3336443,FlyQuest,Cloud9,LCS,2023-03-30 22:01:40,Cloud9,2091,Cloud9,1
ESPORTSTMNT01_3337340,FlyQuest,Cloud9,LCS,2023-03-30 22:57:18,Cloud9,2214,FlyQuest,1
ESPORTSTMNT01_3337648,Golden Guardians,Evil Geniuses,LCS,2023-03-31 22:45:31,Golden Guardians,2005,Golden Guardians,0
ESPORTSTMNT01_3338344,Cloud9,FlyQuest,LCS,2023-03-30 21:09:21,Cloud9,1936,Cloud9,0
ESPORTSTMNT01_3338636,Evil Geniuses,Golden Guardians,LCS,2023-03-31 21:10:17,Golden Guardians,1952,Evil Geniuses,1
ESPORTSTMNT01_3338662,Evil Geniuses,Golden Guardians,LCS,2023-03-31 22:01:40,Golden Guardians,1455,Golden Guardians,1
ESPORTSTMNT01_3342164,FlyQuest,Golden Guardians,LCS,2023-04-08 20:17:16,FlyQuest,1970,Golden Guardians,0
ESPORTSTMNT01_3342185,FlyQuest,Golden Guardians,LCS,2023-04-08 22:17:40,FlyQuest,1818,Golden Guardians,1
ESPORTSTMNT01_3342188,Golden Guardians,FlyQuest,LCS,2023-04-08 23:12:33,Golden Guardians,1868,FlyQuest,0
ESPORTSTMNT01_3342189,FlyQuest,Golden Guardians,LCS,2023-04-09 00:07:01,Golden Guardians,1727,Golden Guardians,1
ESPORTSTMNT01_3342290,Golden Guardians,Cloud9,LCS,2023-04-09 21:53:15,Golden Guardians,1705,Golden Guardians,0
ESPORTSTMNT01_3342295,Cloud9,Golden Guardians,LCS,2023-04-09 22:45:11,Cloud9,1581,Golden Guardians,0
ESPORTSTMNT01_3343111,Golden Guardians,FlyQuest,LCS,2023-04-08 21:14:18,Golden Guardians,2295,Golden Guardians,1
ESPORTSTMNT01_3343206,Cloud9,Golden Guardians,LCS,2023-04-09 20:52:10,Cloud9,2277,Golden Guardians,1
ESPORTSTMNT01_3344237,Golden Guardians,Cloud9,LCS,2023-04-09 23:35:52,Cloud9,1745,Cloud9,1
ESPORTSTMNT01_3373466,Cloud9,Golden Guardians,LCS,2023-06-14 21:13:03,Cloud9,1596,Cloud9,0
ESPORTSTMNT01_3373511,Team Liquid,TSM,LCS,2023-06-14 22:05:21,Team Liquid,1797,Team Liquid,0
